Word,Count
*,32603
the,13255
to,4237
License,3830
of,3719
,3378
under,3079
Apache,3064
this,2968
or,2806
a,2611
on,2550
for,2545
in,2350
file,2327
Software,2298
distributed,2298
with,2030
by,1987
is,1932
may,1694
more,1576
you,1570
information,1562
See,1545
====================================================================,1532
software,1532
Foundation,1532
and,1447
The,1380
{@link,1308
an,1289
not,1284
use,1183
@param,1078
This,1075
be,1058
one,884
at,848
specific,823
either,812
For,807
required,793
copy,791
work,791
see,789
additional,779
many,779
except,778
made,778
You,776
obtain,776
applicable,775
(the,771
compliance,769
Version,769
limitations,768
please,768
implied,767
regarding,767
Unless,767
OR,767
behalf,767
\BASIS,\,766
individuals,766
\IS"\\,766
\writing,\,766
consists,766
agreements,766
<http://www.apache.org/>,766
governing,766
OF,766
express,766
\Foundation,\,766
2.0,766
contributions,766
WARRANTIES,766
\"\AS\,766
NOTICE,766
law,766
contributor,766
language,766
\KIND,\,766
ANY,766
ASF,766
WITHOUT,766
copyright,766
CONDITIONS,766
(ASF),766
permissions,766
voluntary,766
\License,\,766
license,766
ownership,766
agreed,766
\"\License"\);\,766
Licensed,766
licenses,766
http://www.apache.org/licenses/LICENSE-2.0,766
{@code,743
@since,698
that,683
if,682
connection,642
request,620
response,524
@return,442
as,371
from,364
cache,350
will,335
used,327
<p>,308
can,286
HTTP,276
given,275
are,270
route,270
authentication,270
host,266
@deprecated,265
it,259
value,230
@throws,228
cookie,227
4.0,224
null},217
method,213
name,209
entry,208
new,201
</p>,198
default,197
target,189
should,188
proxy,186
<li>{@link,184
context,181
header,179
socket,177
pool,176
scheme,175
Creates,164
using,163
which,163
parameters,160
expected,160
any,160
Returns,159
MUST,157
class,156
no,155
message,155
client,151
4.3,149
If,148
we,148
connections,148
server,147
origin,144
implementation,143
instance,141
all,138
when,130
was,127
has,127
must,126
(4.3),122
list,122
A,120
entity,119
URI,118
number,117
case,116
4.4,116
only,116
@see,115
true},113
have,113
domain,113
specified,113
attribute,112
content,111
4.1,110
object,110
parameter,108
been,106
manager,105
set,105
port,103
protocol,102
do,100
but,96
string,94
execution,92
IOException,92
RFC,87
secure,87
4.2,86
whether,86
false},86
state,86
requests,83
thread,82
-,81
time,81
code,79
interface,79
there,79
maximum,77
factory,77
date,76
Sets,74
null,74
test,74
version,73
type,72
body,72
methods,72
returned,72
key,72
same,72
user,71
headers,71
address,68
NOT,68
timeout,67
Default,67
otherwise,66
handler,65
multiple,65
entries,65
return,65
It,64
represents,64
error,64
challenge,62
Use,62
based,62
Obtains,61
problem,60
make,60
charset,60
stream,60
check,59
than,59
Please,59
so,58
exception,58
cached,57
does,57
underlying,57
match,55
data,55
cannot,55
HttpClient,55
original,54
cookies,54
=,54
existing,53
current,53
example,53
note,53
shared,52
first,52
valid,52
defined,52
SSL,51
caching,51
its,51
actual,51
other,51
before,51
(4.2),51
available,50
array,50
sent,50
threads,50
credentials,50
storage,49
such,49
Create,49
supported,49
Test,49
still,48
tunnel,48
while,47
back,47
detail,47
query,47
constructor,47
custom,46
into,46
through,45
local,45
field,45
params,45
collection,45
include,45
status,44
they,44
configuration,44
get,43
sure,43
considered,43
received,43
order,43
names,42
idle,42
(4.4),42
backend,42
|,42
instances,42
section,42
result,41
specification,41
per,41
being,41
tests,40
Tests,40
registry,40
associated,40
system,40
after,39
cause,39
Determines,39
In,39
need,39
SHOULD,39
waiting,39
resource,39
generated,38
length,38
called,38
encoding,38
Assigns,38
explicitly,37
revalidation,37
currently,37
allowed,37
up,37
size,37
session,37
following,37
responses,37
chain,37
(4.1),36
cases,36
bytes,36
never,36
layered,36
overridden,36
out,36
auth,36
without,35
validation,35
some,35
