File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent\FluentAsync.java,92,46,31,2,14,0,32,199,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent\FluentExecutor.java,73,27,11,0,9,0,37,284,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent\FluentQuickStart.java,43,10,5,0,4,0,29,197,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent\FluentRequests.java,65,23,10,0,8,0,34,241,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent\FluentResponseHandling.java,94,54,42,5,9,0,31,198,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Async.java,121,76,52,8,19,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Content.java,86,39,30,7,14,0,33,196,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\ContentResponseHandler.java,55,14,9,1,6,0,35,192,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Executor.java,288,184,134,26,35,0,69,307,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Form.java,58,22,17,3,10,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\HttpHeader.java,39,9,8,0,4,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\InternalByteArrayEntity.java,106,64,45,7,16,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\InternalEntityEnclosingHttpRequest.java,62,25,17,2,11,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\InternalFileEntity.java,89,50,35,6,13,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\InternalHttpRequest.java,140,93,64,12,21,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\InternalInputStreamEntity.java,102,61,43,10,13,0,28,175,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\package-info.java,33,1,1,0,2,0,30,184,30,184
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Request.java,418,280,207,62,69,0,69,291,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent\Response.java,137,91,69,9,14,0,32,191,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\test\java\org\apache\http\client\fluent\TestFluent.java,168,124,85,6,18,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientAbortMethod.java,63,24,20,0,8,0,31,197,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientAuthentication.java,70,35,27,0,5,0,30,190,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientChunkEncodedPost.java,82,38,32,1,10,0,34,217,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientConfiguration.java,279,168,123,7,35,0,76,527,26,167
