Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,764,131129,76161,53488,6014,16744,285,38224,222197,20015,128108
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6,764,131129,76161,53488,6014,16744,285,38224,222197,20015,128108
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc,20,2269,1293,915,166,309,0,667,3991,524,3357
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src,20,2269,1293,915,166,309,0,667,3991,524,3357
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\examples\org\apache\http\client\fluent,5,367,160,99,7,44,0,163,1119,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client,14,1734,1009,731,153,247,0,478,2705,368,2355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\fluent-hc\src\main\java\org\apache\http\client\fluent,14,1734,1009,731,153,247,0,478,2705,368,2355
