Class Name, Line of Code, Line of Comments, RFC, Cohesion, Coupling, Cyclomatic Complexity, Weighted Methods, Depth of Class, Number of children
CCFinderOutputParser.java, 390, 8, 56, 2, 0, [readInputFile->5 #readCloneSetData->17 #readUtf8StringUntil->5 #getPreproprossedFile->4 #readInt->1 #], 32, 1, 0
CCFinderOutputParser.java, 390, 8, 56, 2, 0, [readInputFile->5 #readCloneSetData->17 #readUtf8StringUntil->5 #getPreproprossedFile->4 #readInt->1 #], 32, 0, 0
CCFinderOutputParser.java, 390, 8, 56, 2, 0, [readInputFile->5 #readCloneSetData->17 #readUtf8StringUntil->5 #getPreproprossedFile->4 #readInt->1 #], 32, 0, 0
CloneDetectorOutputParseException.java, 19, 0, 0, 1, 0, [], 0, 1, 0
CloneDetectorOutputParser.java, 231, 0, 56, 8, 3, [getToolOutputFilePath->1 #getIJavaProject->1 #getCloneGroupCount->1 #setCloneGroupCount->1 #readInputFile->1 #readFileContents->2 #getResultsFileContents->1 #progress->2 #addParserProgressObserver->1 #getIMethod->6 #getMethodJavaSignature->2 #cancelOperation->1 #isOperationCanceled->1 #addExceptionHappenedDuringParsing->1 #getWarningExceptions->1 #getCloneInstance->1 #getCloneInstance->1 #getCloneInstance->3 #formatPath->2 #], 30, 0, 5
CloneDetectorOutputParserFactory.java, 23, 0, 1, 1, 5, [getCloneToolParser->6 #], 6, 0, 0
CloneDetectorOutputParserProgressObserver.java, 5, 0, 1, 1, 0, [notify->1 #], 1, 0, 0
CloneDROutputParser.java, 115, 1, 20, 2, 3, [readInputFile->8 #getAllCloneGroups->3 #getCommonPathPrefix->2 #], 13, 1, 0
CloneGroup.java, 151, 0, 35, 2, 0, [getCloneGroupID->1 #setCloneGroupID->1 #addClone->2 #getCloneInstances->2 #equals->4 #hashCode->1 #getCloneGroupSize->1 #toString->1 #containsClassLevelClone->3 #getSubcloneOf->1 #setSubCloneOf->1 #isSubClone->1 #isSubCloneOf->5 #removeClonesExistingInFile->1 #updateClonesExistingInFile->3 #isUpdated->3 #getClonesRelativeLocation->4 #], 35, 0, 0
CloneGroupList.java, 67, 0, 19, 2, 0, [getJavaProject->1 #add->5 #iterator->1 #getCloneGroups->1 #getCloneGroupsCount->1 #containsCloneGroup->1 #removeClonesExistingInFile->2 #updateClonesExistingInFile->2 #], 14, 0, 0
CloneInstance.java, 171, 3, 41, 10, 0, [getActualCodeFragment->1 #getBelongingCloneGroup->1 #setBelongingCloneGroup->1 #getLocationInfo->1 #updateOffsets->1 #getStatus->1 #getOriginalCodeFragment->1 #getCloneID->1 #setCloneID->1 #getSourceFolder->1 #setSourceFolder->1 #getPackageName->1 #setPackageName->1 #getClassName->1 #setClassName->1 #getMethodName->1 #setMethodName->1 #getMethodSignature->1 #setMethodSignature->1 #getIMethodSignature->1 #setIMethodSignature->1 #isSubcloneOf->3 #equals->3 #hashCode->1 #toString->1 #isClassLevelClone->1 #validateIntegrity->2 #setContainingClassFullyQualifiedName->1 #getContainingClassFullyQualifiedName->1 #], 34, 0, 0
CloneInstanceLocationInfo.java, 213, 4, 34, 7, 0, [isWhiteSpaceCharacter->1 #readFileContents->2 #getLines->3 #getNumberOfCharsForLines->4 #getContainingFilePath->1 #getStartOffset->1 #getEndOffset->1 #getLength->1 #getStartLine->1 #getStartColumn->1 #getEndLine->1 #getEndColumn->1 #getContainingFileContents->1 #updateOffsets->2 #equals->3 #hashCode->1 #toString->1 #getCloneLocationStatus->3 #getUpdatedStartOffset->1 #getUpdatedEndOffset->1 #], 31, 0, 0
ConQATOutputParser.java, 118, 0, 17, 1, 3, [readInputFile->7 #getFilesIdToPathMap->2 #], 9, 1, 0
DeckardOutputParser.java, 98, 0, 10, 1, 3, [readInputFile->8 #], 8, 1, 0
InvalidInputFileException.java, 19, 0, 0, 1, 0, [], 0, 1, 0
JavaModelUtility.java, 85, 7, 20, 2, 0, [getAllSourceDirectories->8 #getIDocument->1 #], 9, 0, 0
NiCadOutputParser.java, 99, 0, 15, 1, 3, [readInputFile->8 #], 8, 1, 0
ResourceInfo.java, 112, 2, 21, 8, 0, [getCompilationUnitFromICompilationUnit->1 #getSourceFolder->1 #getICompilationUnit->1 #getCompilationUnit->1 #getPackageName->1 #getClassName->1 #getResourceInfo->10 #getFullPath->2 #], 18, 0, 0
ResourceInfo.java, 112, 2, 21, 8, 0, [getCompilationUnitFromICompilationUnit->1 #getSourceFolder->1 #getICompilationUnit->1 #getCompilationUnit->1 #getPackageName->1 #getClassName->1 #getResourceInfo->10 #getFullPath->2 #], 18, 1, 0
TextDiff.java, 2471, 705, 106, 5, 0, [diff_main->1 #diff_main->2 #diff_main->9 #diff_compute->12 #diff_lineMode->11 #diff_bisect->23 #diff_bisectSplit->2 #diff_linesToChars->1 #diff_linesToCharsMunge->4 #diff_charsToLines->3 #diff_commonPrefix->3 #diff_commonSuffix->3 #diff_commonOverlap->11 #diff_halfMatch->14 #diff_halfMatchI->5 #diff_cleanupSemantic->23 #diff_cleanupSemanticLossless->15 #diff_cleanupSemanticScore->12 #diff_cleanupEfficiency->18 #diff_cleanupMerge->30 #diff_xIndex->6 #diff_prettyHtml->5 #diff_text1->3 #diff_text2->3 #diff_levenshtein->5 #diff_toDelta->6 #diff_fromDelta->11 #match_main->8 #match_bitap->19 #match_bitapScore->5 #match_alphabet->4 #patch_addContext->6 #patch_make->3 #patch_make->3 #patch_make->2 #patch_make->17 #patch_deepCopy->3 #patch_apply->17 #patch_addPadding->7 #patch_splitMax->20 #patch_toText->2 #patch_fromText->13 #unescapeForEncodeUriCompatability->2 #], 372, 0, 0
TextDiff.java, 2471, 705, 106, 5, 0, [diff_main->1 #diff_main->2 #diff_main->9 #diff_compute->12 #diff_lineMode->11 #diff_bisect->23 #diff_bisectSplit->2 #diff_linesToChars->1 #diff_linesToCharsMunge->4 #diff_charsToLines->3 #diff_commonPrefix->3 #diff_commonSuffix->3 #diff_commonOverlap->11 #diff_halfMatch->14 #diff_halfMatchI->5 #diff_cleanupSemantic->23 #diff_cleanupSemanticLossless->15 #diff_cleanupSemanticScore->12 #diff_cleanupEfficiency->18 #diff_cleanupMerge->30 #diff_xIndex->6 #diff_prettyHtml->5 #diff_text1->3 #diff_text2->3 #diff_levenshtein->5 #diff_toDelta->6 #diff_fromDelta->11 #match_main->8 #match_bitap->19 #match_bitapScore->5 #match_alphabet->4 #patch_addContext->6 #patch_make->3 #patch_make->3 #patch_make->2 #patch_make->17 #patch_deepCopy->3 #patch_apply->17 #patch_addPadding->7 #patch_splitMax->20 #patch_toText->2 #patch_fromText->13 #unescapeForEncodeUriCompatability->2 #], 372, 0, 0
TextDiff.java, 2471, 705, 106, 5, 0, [diff_main->1 #diff_main->2 #diff_main->9 #diff_compute->12 #diff_lineMode->11 #diff_bisect->23 #diff_bisectSplit->2 #diff_linesToChars->1 #diff_linesToCharsMunge->4 #diff_charsToLines->3 #diff_commonPrefix->3 #diff_commonSuffix->3 #diff_commonOverlap->11 #diff_halfMatch->14 #diff_halfMatchI->5 #diff_cleanupSemantic->23 #diff_cleanupSemanticLossless->15 #diff_cleanupSemanticScore->12 #diff_cleanupEfficiency->18 #diff_cleanupMerge->30 #diff_xIndex->6 #diff_prettyHtml->5 #diff_text1->3 #diff_text2->3 #diff_levenshtein->5 #diff_toDelta->6 #diff_fromDelta->11 #match_main->8 #match_bitap->19 #match_bitapScore->5 #match_alphabet->4 #patch_addContext->6 #patch_make->3 #patch_make->3 #patch_make->2 #patch_make->17 #patch_deepCopy->3 #patch_apply->17 #patch_addPadding->7 #patch_splitMax->20 #patch_toText->2 #patch_fromText->13 #unescapeForEncodeUriCompatability->2 #], 372, 0, 0
TextDiff.java, 2471, 705, 106, 5, 0, [diff_main->1 #diff_main->2 #diff_main->9 #diff_compute->12 #diff_lineMode->11 #diff_bisect->23 #diff_bisectSplit->2 #diff_linesToChars->1 #diff_linesToCharsMunge->4 #diff_charsToLines->3 #diff_commonPrefix->3 #diff_commonSuffix->3 #diff_commonOverlap->11 #diff_halfMatch->14 #diff_halfMatchI->5 #diff_cleanupSemantic->23 #diff_cleanupSemanticLossless->15 #diff_cleanupSemanticScore->12 #diff_cleanupEfficiency->18 #diff_cleanupMerge->30 #diff_xIndex->6 #diff_prettyHtml->5 #diff_text1->3 #diff_text2->3 #diff_levenshtein->5 #diff_toDelta->6 #diff_fromDelta->11 #match_main->8 #match_bitap->19 #match_bitapScore->5 #match_alphabet->4 #patch_addContext->6 #patch_make->3 #patch_make->3 #patch_make->2 #patch_make->17 #patch_deepCopy->3 #patch_apply->17 #patch_addPadding->7 #patch_splitMax->20 #patch_toText->2 #patch_fromText->13 #unescapeForEncodeUriCompatability->2 #], 372, 0, 0
AbstractMethodDeclaration.java, 131, 0, 56, 56, 0, [getName->1 #getAccess->1 #getMethodDeclaration->1 #getMethodBody->1 #getClassName->1 #getCommentListIterator->1 #getParameterListIterator->1 #getParameter->1 #getMethodInvocations->1 #getSuperMethodInvocations->1 #getConstructorInvocations->1 #getFieldInstructions->1 #getSuperFieldInstructions->1 #getLocalVariableDeclarations->1 #getLocalVariableInstructions->1 #getCreations->1 #getLiterals->1 #getAnonymousClassDeclarations->1 #getExceptionsInThrowStatements->1 #getExceptionsInJavaDocThrows->1 #containsMethodInvocation->1 #containsFieldInstruction->1 #containsSuperMethodInvocation->1 #getInvokedMethodsThroughFields->1 #getNonDistinctInvokedMethodsThroughFields->1 #getInvokedMethodsThroughParameters->1 #getNonDistinctInvokedMethodsThroughParameters->1 #getInvokedMethodsThroughLocalVariables->1 #getInvokedMethodsThroughThisReference->1 #getNonDistinctInvokedMethodsThroughThisReference->1 #getInvokedStaticMethods->1 #getDefinedFieldsThroughFields->1 #getUsedFieldsThroughFields->1 #getNonDistinctDefinedFieldsThroughFields->1 #getNonDistinctUsedFieldsThroughFields->1 #getDefinedFieldsThroughParameters->1 #getUsedFieldsThroughParameters->1 #getNonDistinctDefinedFieldsThroughParameters->1 #getNonDistinctUsedFieldsThroughParameters->1 #getDefinedFieldsThroughLocalVariables->1 #getUsedFieldsThroughLocalVariables->1 #getDefinedFieldsThroughThisReference->1 #getNonDistinctDefinedFieldsThroughThisReference->1 #getUsedFieldsThroughThisReference->1 #getNonDistinctUsedFieldsThroughThisReference->1 #getDeclaredLocalVariables->1 #getDefinedLocalVariables->1 #getUsedLocalVariables->1 #getParametersPassedAsArgumentsInMethodInvocations->1 #getParametersPassedAsArgumentsInSuperMethodInvocations->1 #getParametersPassedAsArgumentsInConstructorInvocations->1 #containsSuperMethodInvocation->1 #containsSuperFieldAccess->1 #getParameterTypeList->1 #getParameterList->1 #getSignature->1 #isAbstract->1 #], 57, 0, 0
AbstractMethodInvocationObject.java, 148, 2, 26, 4, 0, [addParameter->1 #getParameterListIterator->1 #getParameterTypeList->1 #getReturnType->1 #getOriginClassType->1 #getOriginClassName->1 #getMethodName->1 #getParameterList->2 #isStatic->1 #setStatic->1 #addThrownException->1 #getThrownExceptions->1 #getType->1 #equals->3 #hashCode->3 #toString->3 #getSignature->3 #], 26, 0, 3
AnonymousClassDeclarationObject.java, 74, 1, 19, 4, 0, [setAnonymousClassDeclaration->1 #getAnonymousClassDeclaration->1 #getClassObject->1 #setClassObject->1 #getITypeRoot->1 #getIFile->2 #getSuperclass->1 #accessedFieldFromThisClass->5 #toString->3 #], 16, 1, 0
ArrayAccessObject.java, 24, 0, 4, 2, 0, [getType->1 #getArrayAccess->1 #setArrayAccess->1 #], 3, 0, 0
ArrayCreationObject.java, 18, 0, 3, 1, 0, [getArrayCreation->1 #setArrayCreation->1 #], 2, 1, 0
Association.java, 62, 0, 9, 1, 0, [getFieldObject->1 #getTo->1 #getFrom->1 #isContainer->1 #setContainer->1 #equals->3 #toString->2 #], 10, 0, 0
AssociationDetection.java, 184, 2, 41, 1, 1, [containsFieldObject->3 #getAssociationsOfClass->3 #generateAssociations->12 #checkCollectionAttribute->4 #checkForContainerAssociation->4 #checkFullPathForContainerAssociation->4 #checkPathForContainerAssociation->3 #recurse->5 #getAssociationsEndingTo->3 #getAssociation->3 #], 44, 0, 0
ASTInformation.java, 66, 0, 10, 1, 0, [recoverASTNode->1 #getITypeRoot->1 #getStartPosition->1 #getLength->1 #equals->3 #hashCode->2 #], 9, 0, 0
ASTInformationGenerator.java, 17, 0, 2, 1, 1, [setCurrentITypeRoot->1 #generateASTInformation->1 #], 2, 0, 0
ASTReader.java, 619, 1, 131, 4, 12, [buildProject->3 #getNumberOfCompilationUnits->4 #getRecursivelyInnerTypes->8 #parseAST->1 #parseAST->7 #processComments->8 #processTypeDeclaration->12 #processEnumDeclaration->12 #processFieldDeclaration->8 #processMethodDeclaration->30 #getSystemObject->1 #getExaminedProject->1 #getAST->2 #], 97, 0, 0
ClassDeclarationObject.java, 231, 0, 52, 6, 0, [getITypeRoot->1 #getClassObject->1 #getIFile->1 #getSuperclass->1 #addMethod->1 #addField->1 #addComment->1 #addComments->1 #getMethodList->1 #getMethodIterator->1 #getFieldIterator->1 #getCommentIterator->1 #getNumberOfMethods->1 #setName->1 #getName->1 #isGeneratedByParserGenenator->3 #containsMethodWithTestAnnotation->3 #extendsTestCase->4 #getMethod->3 #getMethod->3 #containsMethodInvocation->3 #containsFieldInstruction->3 #containsMethodInvocation->3 #containsSuperMethodInvocation->3 #hasFieldType->3 #getFieldsAccessedInsideMethod->11 #getField->3 #findField->4 #], 64, 0, 2
ClassInstanceCreationObject.java, 70, 0, 18, 3, 0, [getClassInstanceCreation->1 #setClassInstanceCreation->1 #addParameter->1 #getParameterListIterator->1 #getParameterTypeList->1 #getParameterList->2 #addThrownException->1 #getThrownExceptions->1 #toString->3 #], 12, 1, 0
